pcd7,pcd8,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,oa21cd,oac11cd,oac11nm,wz11cd,wzc11cd,wzc11nm,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,soac11cd,soac11nm,ladcd,ladnm,ladnmw,laccd,lacnm
AB1 0AQ,AB1  0AQ,AB1 0AQ,198001,199606,0,384800,800870,S00090399,6A1,Indian tech achievers,S34003015,C1,Teachers and carers in metro suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AR,AB1  0AR,AB1 0AR,198001,199606,0,386474,800063,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0AS,AB1  0AS,AB1 0AS,198001,199606,0,385889,799228,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0AT,AB1  0AT,AB1 0AT,198001,199606,0,385568,799837,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0AX,AB1  0AX,AB1 0AX,198001,199606,0,385079,800549,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BA,AB1  0BA,AB1 0BA,198001,199606,0,384593,799996,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BB,AB1  0BB,AB1 0BB,198001,199606,0,384426,799509,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BD,AB1  0BD,AB1 0BD,198001,199606,0,383801,798711,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BE,AB1  0BE,AB1 0BE,199103,199606,0,384495,799987,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BJ,AB1  0BJ,AB1 0BJ,198001,199606,0,384198,798965,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BL,AB1  0BL,AB1 0BL,198001,199606,0,385153,799019,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BN,AB1  0BN,AB1 0BN,198001,199606,0,384454,797616,S00091320,6A1,Indian tech achievers,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BP,AB1  0BP,AB1 0BP,198001,199606,0,383592,797390,S00091320,6A1,Indian tech achievers,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BQ,AB1  0BQ,AB1 0BQ,198001,199606,0,382833,797458,S00091320,6A1,Indian tech achievers,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BR,AB1  0BR,AB1 0BR,198001,199606,0,383218,796825,S00091320,6A1,Indian tech achievers,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BS,AB1  0BS,AB1 0BS,198001,199606,0,384007,795624,S00091321,6A3,Detached retirement living,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BT,AB1  0BT,AB1 0BT,198001,199606,0,384932,796254,S00091321,6A3,Detached retirement living,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BX,AB1  0BX,AB1 0BX,198001,199606,0,385814,797610,S00091321,6A3,Detached retirement living,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BY,AB1  0BY,AB1 0BY,198605,199606,0,385753,799055,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0BZ,AB1  0BZ,AB1 0BZ,198605,199606,0,385637,799105,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0DA,AB1  0DA,AB1 0DA,198001,199606,0,386246,797040,S00091321,6A3,Detached retirement living,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0DB,AB1  0DB,AB1 0DB,198001,199606,0,385249,797716,S00091321,6A3,Detached retirement living,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0DD,AB1  0DD,AB1 0DD,198001,199606,0,386284,800782,S00092401,1A1,Rural workers and families,S34003200,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0DJ,AB1  0DJ,AB1 0DJ,198001,199606,0,385350,801340,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DL,AB1  0DL,AB1 0DL,198001,199606,0,385386,801193,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DN,AB1  0DN,AB1 0DN,198001,199606,0,385566,801239,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DP,AB1  0DP,AB1 0DP,198001,199606,0,385622,801182,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DQ,AB1  0DQ,AB1 0DQ,198001,199606,0,385575,801385,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DR,AB1  0DR,AB1 0DR,198001,199606,0,385824,801537,S00090311,6B2,White suburban communities,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DS,AB1  0DS,AB1 0DS,198001,199606,0,385866,801631,S00090311,6B2,White suburban communities,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DT,AB1  0DT,AB1 0DT,198001,199606,0,385943,801641,S00090311,6B2,White suburban communities,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DU,AB1  0DU,AB1 0DU,198001,199606,0,385879,801765,S00090306,6A2,Comfortable suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DX,AB1  0DX,AB1 0DX,198001,199606,0,386048,801738,S00090304,6B4,Older workers and retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0DY,AB1  0DY,AB1 0DY,199402,199606,0,385466,801182,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EA,AB1  0EA,AB1 0EA,198001,199606,0,386064,801706,S00090304,6B4,Older workers and retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EB,AB1  0EB,AB1 0EB,198001,199606,0,385985,801825,S00090312,6B4,Older workers and retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0ED,AB1  0ED,AB1 0ED,198001,199606,0,386008,801793,S00090310,6B1,Multi-ethnic suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EE,AB1  0EE,AB1 0EE,198001,199606,0,386152,801879,S00090310,6B1,Multi-ethnic suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EF,AB1  0EF,AB1 0EF,198001,199606,0,385610,802040,S00090897,6A4,Ageing in suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EH,AB1  0EH,AB1 0EH,198001,199606,0,385705,801808,S00090306,6A2,Comfortable suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EJ,AB1  0EJ,AB1 0EJ,198001,199606,0,385524,801947,S00090305,6A2,Comfortable suburbia,S34003099,F3,Rural with mining or quarrying,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EL,AB1  0EL,AB1 0EL,198001,199606,0,385296,802185,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EN,AB1  0EN,AB1 0EN,198001,199606,0,385560,801560,S00090305,6A2,Comfortable suburbia,S34003099,F3,Rural with mining or quarrying,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EP,AB1  0EP,AB1 0EP,198001,199606,0,385143,801535,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EQ,AB1  0EQ,AB1 0EQ,198001,199606,0,384432,801981,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0ER,AB1  0ER,AB1 0ER,198001,199606,0,384602,802808,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0ES,AB1  0ES,AB1 0ES,198001,199606,0,383466,803696,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0ET,AB1  0ET,AB1 0ET,198001,199606,0,384991,802660,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EU,AB1  0EU,AB1 0EU,198001,199606,0,385546,801467,S00090305,6A2,Comfortable suburbia,S34003099,F3,Rural with mining or quarrying,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EW,AB1  0EW,AB1 0EW,198001,199606,0,385791,801781,S00090896,6A1,Indian tech achievers,S34003134,C5,Professional home-workers in outer suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0EX,AB1  0EX,AB1 0EX,198001,199606,0,385413,803443,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HA,AB1  0HA,AB1 0HA,198001,199606,0,385651,801327,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HB,AB1  0HB,AB1 0HB,198001,199606,0,385826,801336,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HD,AB1  0HD,AB1 0HD,198001,199606,0,385941,801443,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HJ,AB1  0HJ,AB1 0HJ,198001,199606,0,385924,801562,S00090311,6B2,White suburban communities,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HL,AB1  0HL,AB1 0HL,198001,199606,0,386255,801738,S00090304,6B4,Older workers and retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HN,AB1  0HN,AB1 0HN,198001,199606,0,386452,801865,S00090314,5B2,Communal retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HP,AB1  0HP,AB1 0HP,198001,199606,0,386186,801932,S00090314,5B2,Communal retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HQ,AB1  0HQ,AB1 0HQ,198001,199606,0,386473,802138,S00090314,5B2,Communal retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HR,AB1  0HR,AB1 0HR,198001,199606,1,386465,801931,S00090314,5B2,Communal retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HS,AB1  0HS,AB1 0HS,198001,199606,0,386647,802432,S00090394,6A3,Detached retirement living,S34002983,F3,Rural with mining or quarrying,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HT,AB1  0HT,AB1 0HT,198001,199606,0,386820,801800,S00090395,6A2,Comfortable suburbia,S34003015,C1,Teachers and carers in metro suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HU,AB1  0HU,AB1 0HU,198001,199606,0,385966,801877,S00090312,6B4,Older workers and retirement,S34003134,C5,Professional home-workers in outer suburbs,S01006513,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0HX,AB1  0HX,AB1 0HX,198001,199606,0,386859,802419,S00090394,6A3,Detached retirement living,S34002983,F3,Rural with mining or quarrying,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JA,AB1  0JA,AB1 0JA,198001,199606,0,386281,801996,S00090313,6A4,Ageing in suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JB,AB1  0JB,AB1 0JB,198001,199606,0,386022,801990,S00090313,6A4,Ageing in suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JD,AB1  0JD,AB1 0JD,198001,199606,0,386013,802104,S00090308,6A4,Ageing in suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JE,AB1  0JE,AB1 0JE,198001,199606,0,385750,802016,S00090307,6A1,Indian tech achievers,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JG,AB1  0JG,AB1 0JG,199006,199606,0,385739,802233,S00090309,6A2,Comfortable suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JH,AB1  0JH,AB1 0JH,198001,199606,0,386069,802238,S00090308,6A4,Ageing in suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JJ,AB1  0JJ,AB1 0JJ,198001,199606,0,386071,802185,S00090308,6A4,Ageing in suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JL,AB1  0JL,AB1 0JL,198001,199606,0,385750,802464,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JN,AB1  0JN,AB1 0JN,198001,199607,0,385320,802220,S00090400,1A2,Established farming communities,S34003099,F3,Rural with mining or quarrying,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JP,AB1  0JP,AB1 0JP,198001,199606,0,386595,801770,S00090382,1A3,Agricultural communities,S34003015,C1,Teachers and carers in metro suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JQ,AB1  0JQ,AB1 0JQ,198001,199606,0,386803,801652,S00090395,6A2,Comfortable suburbia,S34003015,C1,Teachers and carers in metro suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JR,AB1  0JR,AB1 0JR,198001,199606,0,386774,801585,S00090395,6A2,Comfortable suburbia,S34003015,C1,Teachers and carers in metro suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JS,AB1  0JS,AB1 0JS,198001,199606,0,386584,801718,S00090382,1A3,Agricultural communities,S34003015,C1,Teachers and carers in metro suburbs,S01006516,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JT,AB1  0JT,AB1 0JT,198511,199606,0,385866,802226,S00090307,6A1,Indian tech achievers,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JU,AB1  0JU,AB1 0JU,198511,199606,0,385921,802363,S00090307,6A1,Indian tech achievers,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JW,AB1  0JW,AB1 0JW,198511,199606,0,385836,802294,S00090307,6A1,Indian tech achievers,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JX,AB1  0JX,AB1 0JX,199009,199606,0,385822,802264,S00090309,6A2,Comfortable suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JY,AB1  0JY,AB1 0JY,199006,199606,0,385608,802163,S00090309,6A2,Comfortable suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0JZ,AB1  0JZ,AB1 0JZ,199006,199606,0,385717,802212,S00090309,6A2,Comfortable suburbia,S34003134,C5,Professional home-workers in outer suburbs,S01006515,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LA,AB1  0LA,AB1 0LA,198001,199606,0,383616,801140,S00090290,7A1,Transitional Eastern European neighbourhood,S34002990,D1,Non-metropolitan suburban areas,S01006508,,S02001236,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LB,AB1  0LB,AB1 0LB,198001,199606,0,383539,801232,S00090288,7C1,Challenged transitionaries,S34002990,D1,Non-metropolitan suburban areas,S01006507,,S02001236,,5C,Comfortable neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LD,AB1  0LD,AB1 0LD,198001,199606,0,383624,801298,S00090891,8C3,Renting hard-pressed workers,S34002990,D1,Non-metropolitan suburban areas,S01006507,,S02001236,,5C,Comfortable neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LE,AB1  0LE,AB1 0LE,199201,199606,0,383543,800383,S00090888,7A2,Hampered aspiration,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LJ,AB1  0LJ,AB1 0LJ,198001,199606,0,384141,800394,S00088963,1A2,Established farming communities,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LL,AB1  0LL,AB1 0LL,198001,199606,0,383814,800304,S00088963,1A2,Established farming communities,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LN,AB1  0LN,AB1 0LN,198001,199606,0,383823,799730,S00088963,1A2,Established farming communities,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LP,AB1  0LP,AB1 0LP,198001,199606,0,383750,800340,S00088964,6A4,Ageing in suburbia,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LQ,AB1  0LQ,AB1 0LQ,198001,199606,0,383530,800385,S00090888,7A2,Hampered aspiration,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LR,AB1  0LR,AB1 0LR,198001,199606,0,383583,800488,S00090888,7A2,Hampered aspiration,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LS,AB1  0LS,AB1 0LS,198001,199606,0,383429,800365,S00088963,1A2,Established farming communities,S34002978,F3,Rural with mining or quarrying,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0LT,AB1  0LT,AB1 0LT,198001,199606,0,382324,799779,S00091391,1A2,Established farming communities,S34003353,F3,Rural with mining or quarrying,S01006857,,S02001296,,2C,Remoter communities,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0LX,AB1  0LX,AB1 0LX,198001,199606,0,383588,800702,S00090919,7C1,Challenged transitionaries,S34002978,F3,Rural with mining or quarrying,S01006508,,S02001236,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
